var_name,source_var,short_name,group,store,dims,dtype,long_name,units,level_dim,n_levels
p84.162,vertical_integral_of_divergence_of_moisture_flux,p84.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of divergence of moisture flux,kg m**-2 s**-1,,0
p85.162,vertical_integral_of_divergence_of_geopotential_flux,p85.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of divergence of geopotential flux,W m**-2,,0
p86.162,vertical_integral_of_divergence_of_total_energy_flux,p86.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of divergence of total energy flux,W m**-2,,0
p87.162,vertical_integral_of_divergence_of_ozone_flux,p87.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of divergence of ozone flux,kg m**-2 s**-1,,0
p88.162,vertical_integral_of_eastward_cloud_liquid_water_flux,p88.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of eastward cloud liquid water flux,kg m**-1 s**-1,,0
p89.162,vertical_integral_of_northward_cloud_liquid_water_flux,p89.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of northward cloud liquid water flux,kg m**-1 s**-1,,0
p90.162,vertical_integral_of_eastward_cloud_frozen_water_flux,p90.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of eastward cloud frozen water flux,kg m**-1 s**-1,,0
p91.162,vertical_integral_of_northward_cloud_frozen_water_flux,p91.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of northward cloud frozen water flux ,kg m**-1 s**-1,,0
p92.162,vertical_integral_of_mass_tendency,p92.162,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Vertical integral of mass tendency,kg m**-2 s**-1,,0
pev,potential_evaporation,pev,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Potential evaporation,m,,0
phiaw,normalized_energy_flux_into_waves,phiaw,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Normalized energy flux into waves,dimensionless,,0
phioc,normalized_energy_flux_into_ocean,phioc,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Normalized energy flux into ocean,dimensionless,,0
pp1d,peak_wave_period,pp1d,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Peak wave period,s,,0
ptype,precipitation_type,ptype,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Precipitation type,code table (4.201),,0
ro,runoff,ro,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Runoff,m,,0
rsn,snow_density,rsn,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Snow density,kg m**-3,,0
sd,snow_depth,sd,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Snow depth,m of water equivalent,,0
sdfor,standard_deviation_of_filtered_subgrid_orography,sdfor,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Standard deviation of filtered subgrid orography,m,,0
sdor,standard_deviation_of_orography,sdor,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Standard deviation of orography,m,,0
sf,snowfall,sf,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Snowfall,m of water equivalent,,0
shts,significant_height_of_total_swell,shts,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Significant height of total swell,m,,0
shww,significant_height_of_wind_waves,shww,sf,ar/full_37-1h-0p25deg-chunk-1.zarr-v3,"time,latitude,longitude",float32,Significant height of wind waves,m,,0
