gfs.t00z.pgrb2.0p25.f000
shortName    name         level        typeOfLevel  
t            Temperature  975          isobaricInhPa 
r            Relative humidity  975          isobaricInhPa 
tcc          Total Cloud Cover  975          isobaricInhPa 
w            Vertical velocity  975          isobaricInhPa 
wz           Geometric vertical velocity  975          isobaricInhPa 
u            U component of wind  975          isobaricInhPa 
v            V component of wind  975          isobaricInhPa 
absv         Absolute vorticity  975          isobaricInhPa 
clwmr        Cloud mixing ratio  975          isobaricInhPa 
icmr         Ice water mixing ratio  975          isobaricInhPa 
rwmr         Rain mixing ratio  975          isobaricInhPa 
snmr         Snow mixing ratio  975          isobaricInhPa 
grle         Graupel (snow pellets)  975          isobaricInhPa 
t            Temperature  1000         isobaricInhPa 
r            Relative humidity  1000         isobaricInhPa 
tcc          Total Cloud Cover  1000         isobaricInhPa 
w            Vertical velocity  1000         isobaricInhPa 
wz           Geometric vertical velocity  1000         isobaricInhPa 
u            U component of wind  1000         isobaricInhPa 
v            V component of wind  1000         isobaricInhPa 
absv         Absolute vorticity  1000         isobaricInhPa 
clwmr        Cloud mixing ratio  1000         isobaricInhPa 
icmr         Ice water mixing ratio  1000         isobaricInhPa 
rwmr         Rain mixing ratio  1000         isobaricInhPa 
snmr         Snow mixing ratio  1000         isobaricInhPa 
grle         Graupel (snow pellets)  1000         isobaricInhPa 
o3mr         Ozone mixing ratio  1000         isobaricInhPa 
mslet        MSLP (Eta model reduction)  0            meanSea     
gh           Geopotential height  1000         isobaricInhPa 
sp           Surface pressure  0            surface     
orog         Orography    0            surface     
t            Temperature  0            surface     
st           Soil temperature  0            depthBelowLandLayer 
soilw        Volumetric soil moisture content  0            depthBelowLandLayer 
st           Soil temperature  0            depthBelowLandLayer 
soilw        Volumetric soil moisture content  0            depthBelowLandLayer 
st           Soil temperature  0            depthBelowLandLayer 
soilw        Volumetric soil moisture content  0            depthBelowLandLayer 
st           Soil temperature  1            depthBelowLandLayer 
soilw        Volumetric soil moisture content  1            depthBelowLandLayer 
sdwe         Water equivalent of accumulated snow depth (deprecated)  0            surface     
sde          Snow depth   0            surface     
2t           2 metre temperature  2            heightAboveGround 
2sh          2 metre specific humidity  2            heightAboveGround 
2d           2 metre dewpoint temperature  2            heightAboveGround 
2r           2 metre relative humidity  2            heightAboveGround 
aptmp        Apparent temperature  2            heightAboveGround 
10u          10 metre U wind component  10           heightAboveGround 
10v          10 metre V wind component  10           heightAboveGround 
unknown      unknown      10           heightAboveSea 
cpofp        Percent frozen precipitation  0            surface     
prate        Precipitation rate  0            surface     
csnow        Categorical snow  0            surface     
cicep        Categorical ice pellets  0            surface     
cfrzr        Categorical freezing rain  0            surface     
crain        Categorical rain  0            surface     
wilt         Wilting Point  0            surface     
fldcp        Field Capacity  0            surface     
SUNSD        Sunshine Duration  0            surface     
lftx         Surface lifted index  0            surface     
cape         Convective available potential energy  0            surface     
cin          Convective inhibition  0            surface     
pwat         Precipitable water  0            atmosphereSingleLayer 
cwat         Cloud water  0            atmosphereSingleLayer 
r            Relative humidity  0            atmosphereSingleLayer 
tozne        Total ozone  0            atmosphereSingleLayer 
hlcy         Storm relative helicity  3000         heightAboveGroundLayer 
ustm         U-component storm motion  6000         heightAboveGroundLayer 
vstm         V-component storm motion  6000         heightAboveGroundLayer 
trpp         Tropopause pressure  0            tropopause  
icaht        ICAO Standard Atmosphere reference height  0            tropopause  
